id,MEREK,NETTO,JML,HARGA
0,Pantene anti dandruf,340,2,21200
1,Pantene Long black,340,1,20000
2,Pantene nature care,70,1,6000
3,Pantene hair fall control,70,1,4800
4,Pantene silky smooth care,170,2,15600
5,Pantene lively,180,2,16400
6,Pantene long black,180,1,16000
7,Rejoice anti frizz,170,1,14400
8,rejoice anti dandruf,90,1,4400
9,Rejoice manageable,170,1,14400
10,Rejoice manageable,70,1,4000
11,Rijoice Rich,90,14,4000
12,Rijoice 3 in 1,180,4,14000
13,Rijoice Rich,170,3,13600
14,Rijoice hair fall,70,1,4400
15,Emeron,7,23,400
16,Head & shoulders,10,6,400
17,Sunslik black shine,90,3,6400
18,Sunslik hair fall,10,10,400
19,Sunslik S&S,10,12,400
20,Lifebuoy anti dandruff,90,2,4800
21,Lifebuoy anti dandruff,10,12,400
22,Clear men ice cool,90,1,12400
23,Clear ice cool menthol,90,1,10800
24,Clear women,10,12,400
25,Clear ice mentol,10,24,400
