id,MEREK,NETTO,JML,HARGA
0,"Give pepaya",80,1,1200
1,"Give soya bear",80,3,1200
2,"Give bengkoang",80,1,1200
3,"Lifebuoy cool fresh mentol",80,2,1600
4,"Lifebuoy naturepure daun sirih",80,3,1600
5,"Lifebuoy total",80,3,1600
6,"Lifebuoy Vita Protect",80,2,1600
7,"Lifebuoy naturepure",300,2,10800
8,"Lifebuoy cool fresh mentol",100,2,3600
9,"Lifebuoy total 10",100,3,3600
10,"Lux velvet touch",85,2,2000
11,"Lux White Glemour",220,3,10000
12,"Claudia Silky Soft",70,3,1200
13,"Caludia Silky Smoth",70,3,1200
14,"Citra Bubuk Mutiara",70,2,2000
15,"Marina",75,3,960
16,"Harmony orange",70,3,1200
17,"Harmony fuji apple",70,2,1200
18,"Harmony grape",70,3,1200
19,"Harmony green apple",70,3,1200
20,"Nuvo cool",80,2,1200
21,"Nuvo caring",80,2,1200
22,"Nuvo energizing",80,2,1200
23,"Nuvo clasic",80,2,1200
