id,MEREK,NETTO,JML,HARGA
0,"Wardah Moisturizer gel",40,3,12000
1,"Viva face tonic bengkoang",100,3,2800
2,"Viva milk cleanser",100,2,3200
3,"Rexona teens",25,5,4000
4,"Rexona floral",34,3,6000
5,"Rexona women whitening",40,3,9600
6,"Pixy woody",34,3,3600
7,"Pucelle Joy",75,5,4400
8,"Pucelle Mist cologne",150,2,10400
9,"Gatsby musky",175,5,13600
10,"Citra Hazelin",40,3,8400
11,"Citra bengkoang",250,4,12000
12,"Citra teh hijau",60,2,2800
13,"Citra bubuk mutiara",120,3,8000
14,"Citra bubuk mutiara",60,2,3600
15,"Citra bengkoang",60,3,3200
16,"Citra bengkoang",120,2,8000
17,"Citra beras jepang",250,2,12400
18,"Citra beras jepang",120,1,8400
19,"Citra mangir jawa",120,1,8800
20,"Lovely caring glow",120,2,3600
21,"Garnier pure aktif scrub",100,2,15600
22,"Garnier pure aktif scrub",50,3,9600
23,"Pond's white beauty",50,3,8000
24,"Pond's white beauty",100,4,12000
25,"Pond's perfect matte",50,2,7600
26,"Wardah facial wash",60,2,9600
