id,MEREK,NETTO,JML,HARGA
0,Sprite,200,9,2000
1,Sprite,425,17,3200
2,Fanta Merah,425,5,3200
3,Fanta merah,200,7,2000
4,Fanta orange,200,9,2000
5,Fanta putih,200,6,2000
6,Frestea,220,6,1600
7,Cocacola,200,6,2000
8,Pulpy orange,200,6,4800
9,Happy jus,200,3,1600
10,Fruit tea apple,200,3,1600
11,Fruit tea blackcurant,200,8,1600
12,Frisian flag coolberry,200,6,1600
13,Clevo Strowberry,85,8,1600
14,Clevo Chocolate,125,10,1600
15,Teh hijau rasa apel hijau,225,18,800
16,Teh botol sosro 'JT',200,4,1600
17,Calpino anggur,85,3,800
18,Calpino original,85,3,800
19,Teh jawa 'GT',200,10,800
20,Teh gelas,200,4,800
21,Teh eco,240,15,800
22,Tiky jambu merah,200,9,400
23,Tiky jeruk mangga madu,200,9,400
24,ABC Kacang Hijau,150,10,2000
25,Canting 'SAJ',200,6,400
26,Teh rio,200,9,800
27,Milkuat,85,13,800
28,Pocari sweet,350,4,3600
29,Glit gula asam,200,5,400
30,Frute zone orange,200,9,400
31,Frute zone hijau,200,9,400
32,Larutan Penyegar Sinde,200,6,3200
33,Aqua,600,6,1600
34,Aquarius,250,5,3600
35,okky jelly drink,50,4,2000
